Field Descriptor,Label,Data Type,Units,Scalar,Cumulative Value?,equipment group,Facility Main?
1-0,Current (A),Numeric,A,1,no,Phase 1 Old Main,Yes
1-1,Current CH1 (A),Numeric,A,1,no,Phase 1 Old Main,Yes
1-2,Current CH2 (B),Numeric,A,1,no,Phase 1 Old Main,Yes
1-3,Current CH3 (C),Numeric,A,1,no,Phase 1 Old Main,Yes
1-4,L-N Voltage (V),Numeric,V,1,no,Phase 1 Old Main,Yes
1-5,Voltage L1-N (AN),Numeric,V,1,no,Phase 1 Old Main,Yes
1-6,Voltage L2-N (BN),Numeric,V,1,no,Phase 1 Old Main,Yes
1-7,Voltage L3-N (CN),Numeric,V,1,no,Phase 1 Old Main,Yes
1-8,L-L Voltage (V),Numeric,V,1,no,Phase 1 Old Main,Yes
1-9,Voltage L1-L2,Numeric,V,1,no,Phase 1 Old Main,Yes
1-10,Voltage L2-L3,Numeric,V,1,no,Phase 1 Old Main,Yes
1-11,Voltage L3-L1,Numeric,V,1,no,Phase 1 Old Main,Yes
1-12,Line Frequency,Numeric,Hz,1,no,Phase 1 Old Main,Yes
1-13,Demand (kW),Numeric,kW,1,no,Phase 1 Old Main,Yes
1-14,Power CH1 (A),Numeric,kW,1,no,Phase 1 Old Main,Yes
1-15,Power CH2 (B),Numeric,kW,1,no,Phase 1 Old Main,Yes
1-16,Power CH3 (C),Numeric,kW,1,no,Phase 1 Old Main,Yes
1-17,Apparent Power (kVA),Numeric,kVA,1,no,Phase 1 Old Main,Yes
1-18,VA CH1 (A),Numeric,kVA,1,no,Phase 1 Old Main,Yes
1-19,VA CH2 (B),Numeric,kVA,1,no,Phase 1 Old Main,Yes
1-20,VA CH3 (C),Numeric,kVA,1,no,Phase 1 Old Main,Yes
1-21,Reactive Power (kVAR),Numeric,kVAR,1,no,Phase 1 Old Main,Yes
1-22,VAR CH1 (A),Numeric,kVAR,1,no,Phase 1 Old Main,Yes
1-23,VAR CH2 (B),Numeric,kVAR,1,no,Phase 1 Old Main,Yes
1-24,VAR CH3 (C),Numeric,kVAR,1,no,Phase 1 Old Main,Yes
1-25,Power Factor (%),Numeric,,1,no,Phase 1 Old Main,Yes
1-26,Apparent PF CH1 (A),Numeric,,1,no,Phase 1 Old Main,Yes
1-27,Apparent PF CH2 (B),Numeric,,1,no,Phase 1 Old Main,Yes
1-28,Apparent PF CH3 (C),Numeric,,1,no,Phase 1 Old Main,Yes
1-29,Exported Energy Sum,Numeric,kWh,1,no,Phase 1 Old Main,Yes
1-30,Exported Energy CH1 (A),Numeric,kWh,1,no,Phase 1 Old Main,Yes
1-31,Exported Energy CH2 (B),Numeric,kWh,1,no,Phase 1 Old Main,Yes
1-32,Exported Energy CH3 (C),Numeric,kWh,1,no,Phase 1 Old Main,Yes
1-33,Cumulative Usage (kWh),Numeric,kWh,1,no,Phase 1 Old Main,Yes
1-34,Imported Energy CH1 (A),Numeric,kWh,1,no,Phase 1 Old Main,Yes
1-35,Imported Energy CH2 (B),Numeric,kWh,1,no,Phase 1 Old Main,Yes
1-36,Imported Energy CH3 (C),Numeric,kWh,1,no,Phase 1 Old Main,Yes
1-37,Exported VAh Sum,Numeric,kVAh,1,no,Phase 1 Old Main,Yes
1-38,Exported VAh CH1 (A),Numeric,kVAh,1,no,Phase 1 Old Main,Yes
1-39,Exported VAh CH2 (B),Numeric,kVAh,1,no,Phase 1 Old Main,Yes
1-40,Exported VAh CH3 (C),Numeric,kVAh,1,no,Phase 1 Old Main,Yes
1-41,Imported VAh Sum,Numeric,kVAh,1,no,Phase 1 Old Main,Yes
1-42,Imported VAh CH1 (A),Numeric,kVAh,1,no,Phase 1 Old Main,Yes
